team,name,season,gamesPlayed,wins,losses,overtimeLosses,points,pointsPercentage,regulationWins,regulationOvertimeWins,shootoutWins,goalsFor,goalsAgainst,goalsForPerGame,goalsAgainstPerGame,shutouts,powerPlayPercentage,penaltyKillPercentage,netPowerPlayPercentage,netPenaltyKillPercentage,shotsPerGame,shotsAgainstPerGame,faceoffWinsPercentage
TOR,Toronto Maple Leafs,2011,82,35,37,10,80,0.488,26,31,4,227,259,2.77,3.16,7,18.4,77.3,16.1,79.3,28.3,30.8,51.7
VAN,Vancouver Canucks,2011,82,51,22,9,111,0.677,36,43,8,241,191,2.94,2.33,9,19.8,86.0,18.4,88.5,31.5,30.8,52.2
WSH,Washington Capitals,2011,82,42,32,8,92,0.561,31,38,4,218,226,2.66,2.76,8,16.7,81.6,12.7,82.7,28.0,30.2,50.0
WPG,Winnipeg Jets,2011,82,37,35,10,84,0.512,27,33,4,221,242,2.7,2.95,6,17.9,80.1,14.7,81.2,30.1,30.1,49.0
ANA,Anaheim Ducks,2012,48,30,12,6,66,0.688,23,24,6,134,115,2.79,2.4,5,21.5,81.5,17.8,84.6,28.1,27.9,47.5
BOS,Boston Bruins,2012,48,28,14,6,62,0.646,23,24,4,127,106,2.65,2.21,6,14.8,87.1,13.1,90.2,32.4,28.6,56.4
BUF,Buffalo Sabres,2012,48,21,21,6,48,0.5,13,14,7,118,139,2.46,2.9,1,14.1,79.2,9.8,83.1,27.9,33.5,46.2
CGY,Calgary Flames,2012,48,19,25,4,42,0.438,17,19,0,128,157,2.67,3.27,0,20.0,81.5,18.7,85.4,26.9,29.4,46.6
CAR,Carolina Hurricanes,2012,48,19,25,4,42,0.438,17,18,1,127,159,2.65,3.31,2,14.5,77.6,12.1,79.5,32.2,32.2,50.2
CHI,Chicago Blackhawks,2012,48,36,7,5,77,0.802,25,30,6,149,97,3.1,2.02,7,16.7,87.2,13.3,90.8,31.1,26.2,50.8
COL,Colorado Avalanche,2012,48,16,25,7,39,0.406,11,14,2,114,150,2.38,3.13,3,15.0,80.3,12.9,82.0,29.5,31.4,51.1
CBJ,Columbus Blue Jackets,2012,48,24,17,7,55,0.573,14,19,5,115,115,2.4,2.4,4,14.2,82.6,12.9,84.7,26.7,29.9,52.0
DAL,Dallas Stars,2012,48,22,22,4,48,0.5,18,20,2,128,141,2.67,2.94,1,17.0,81.0,15.2,82.1,26.3,31.0,47.2
DET,Detroit Red Wings,2012,48,24,16,8,56,0.583,20,22,2,122,110,2.54,2.29,5,18.4,81.7,15.7,83.5,30.1,27.5,50.8
EDM,Edmonton Oilers,2012,48,19,22,7,45,0.469,15,17,2,123,131,2.56,2.73,3,20.1,83.4,19.5,85.7,26.8,32.8,46.1
FLA,Florida Panthers,2012,48,15,27,6,36,0.375,11,12,3,109,170,2.27,3.54,0,20.4,74.2,19.7,76.8,29.2,31.3,49.4
LAK,Los Angeles Kings,2012,48,27,16,5,59,0.615,24,25,2,131,114,2.73,2.38,2,19.9,83.2,19.3,84.5,29.8,25.0,52.0
MIN,Minnesota Wild,2012,48,26,19,3,55,0.573,19,22,4,118,125,2.46,2.6,3,17.9,80.7,17.9,81.5,28.8,27.1,52.5
MTL,Montréal Canadiens,2012,48,29,14,5,63,0.656,24,26,3,146,124,3.04,2.58,4,20.7,79.8,19.7,79.8,30.6,26.9,49.8
NSH,Nashville Predators,2012,48,16,23,9,41,0.427,11,14,2,109,133,2.27,2.77,5,17.1,75.5,14.3,76.3,25.9,27.8,49.7
NJD,New Jersey Devils,2012,48,19,19,10,48,0.5,16,17,2,110,122,2.29,2.54,3,15.9,81.1,12.5,87.6,28.4,23.1,48.2
NYI,New York Islanders,2012,48,24,17,7,55,0.573,18,20,4,135,136,2.81,2.83,3,19.9,80.3,19.9,81.7,30.9,28.2,49.7
NYR,New York Rangers,2012,48,26,18,4,56,0.583,18,22,4,126,108,2.63,2.25,2,15.7,81.1,13.1,84.5,30.9,28.2,50.0
OTT,Ottawa Senators,2012,48,25,17,6,56,0.583,19,21,4,112,100,2.33,2.08,4,15.9,88.0,15.3,89.2,33.1,31.3,49.2
PHI,Philadelphia Flyers,2012,48,23,22,3,49,0.51,20,22,1,132,139,2.75,2.9,1,21.6,85.9,19.9,87.0,29.0,28.6,48.5
ARI,Phoenix Coyotes,2012,48,21,18,9,51,0.531,16,17,4,121,125,2.52,2.6,6,14.8,79.9,13.6,81.1,30.9,30.6,52.0
PIT,Pittsburgh Penguins,2012,48,36,12,0,72,0.75,31,33,3,162,119,3.38,2.48,5,24.7,79.6,22.9,80.8,30.0,29.2,51.5
SJS,San Jose Sharks,2012,48,25,16,7,57,0.594,17,17,8,116,112,2.42,2.33,5,20.1,85.0,17.8,87.1,31.8,29.0,53.4
STL,St. Louis Blues,2012,48,29,17,2,60,0.625,20,24,5,124,114,2.58,2.38,7,19.5,84.7,16.1,86.7,27.8,24.2,50.7
TBL,Tampa Bay Lightning,2012,48,18,26,4,40,0.417,16,17,1,147,147,3.06,3.06,1,19.0,80.6,16.6,80.6,27.6,30.2,51.2
TOR,Toronto Maple Leafs,2012,48,26,17,5,57,0.594,24,26,0,145,128,3.02,2.67,6,18.7,87.9,16.3,88.5,26.3,32.3,50.1
VAN,Vancouver Canucks,2012,48,26,15,7,59,0.615,20,21,5,122,115,2.54,2.4,7,15.8,84.0,13.9,85.2,28.1,28.9,47.6
WSH,Washington Capitals,2012,48,27,18,3,57,0.594,20,24,3,146,130,3.04,2.71,4,26.8,77.9,24.4,79.8,28.1,32.3,50.8
WPG,Winnipeg Jets,2012,48,24,21,3,51,0.531,18,22,2,126,141,2.63,2.94,1,13.8,79.7,11.7,80.4,28.9,29.7,48.9
ANA,Anaheim Ducks,2013,82,54,20,8,116,0.707,44,51,3,263,203,3.21,2.48,6,16.0,82.2,13.1,85.9,31.3,28.7,49.2
BOS,Boston Bruins,2013,82,54,19,9,117,0.713,47,51,3,258,171,3.15,2.09,9,21.7,83.7,19.1,87.1,31.9,29.1,51.6
BUF,Buffalo Sabres,2013,82,21,51,10,52,0.317,11,14,7,150,243,1.83,2.96,0,14.1,81.4,12.1,83.2,26.3,34.3,46.8
CGY,Calgary Flames,2013,82,35,40,7,77,0.47,21,28,7,202,238,2.46,2.9,2,15.7,81.7,12.9,86.8,26.8,28.6,46.2
CAR,Carolina Hurricanes,2013,82,36,35,11,83,0.506,30,34,2,205,226,2.5,2.76,2,14.6,81.7,11.7,86.3,31.2,30.9,52.6
CHI,Chicago Blackhawks,2013,82,46,21,15,107,0.652,39,40,6,261,212,3.18,2.59,3,19.5,81.5,17.1,85.1,33.1,27.2,52.0
COL,Colorado Avalanche,2013,82,52,22,8,112,0.683,37,47,5,245,216,2.99,2.63,4,19.8,80.7,19.4,81.9,29.5,32.7,49.5
CBJ,Columbus Blue Jackets,2013,82,43,32,7,93,0.567,35,38,5,226,214,2.76,2.61,8,19.3,82.1,16.4,85.4,29.6,30.8,51.6
DAL,Dallas Stars,2013,82,40,31,11,91,0.555,34,36,4,231,223,2.82,2.72,6,15.9,81.4,14.1,84.4,31.7,30.4,50.1
DET,Detroit Red Wings,2013,82,39,28,15,93,0.567,30,34,5,217,221,2.65,2.7,5,17.7,83.1,16.0,84.1,30.0,29.3,50.8
EDM,Edmonton Oilers,2013,82,29,44,9,67,0.409,20,25,4,199,267,2.43,3.26,4,17.0,82.1,12.2,83.6,26.9,32.9,49.0
FLA,Florida Panthers,2013,82,29,45,8,66,0.402,21,21,8,188,262,2.29,3.2,1,10.0,76.0,7.8,79.0,29.9,31.1,48.3
LAK,Los Angeles Kings,2013,82,46,28,8,100,0.61,34,38,8,198,168,2.41,2.05,13,15.1,83.1,13.0,84.8,31.6,26.2,52.8
MIN,Minnesota Wild,2013,82,43,27,12,98,0.598,32,35,8,199,198,2.43,2.41,8,17.9,78.8,14.7,80.4,26.6,27.7,50.9
MTL,Montréal Canadiens,2013,82,46,28,8,100,0.61,33,40,6,209,201,2.55,2.45,8,17.2,85.1,14.3,87.2,28.4,31.0,49.6
NSH,Nashville Predators,2013,82,38,32,12,88,0.537,33,36,2,214,233,2.61,2.84,5,19.2,80.3,19.2,81.1,29.0,28.9,53.1
NJD,New Jersey Devils,2013,82,35,29,18,88,0.537,26,35,0,197,195,2.4,2.38,6,19.5,86.4,17.8,89.8,26.8,25.5,47.0
NYI,New York Islanders,2013,82,34,37,11,79,0.482,21,25,9,216,261,2.63,3.18,4,17.8,78.1,15.2,81.1,30.9,30.0,47.2
NYR,New York Rangers,2013,82,45,31,6,96,0.585,39,41,4,214,190,2.61,2.32,8,18.2,85.3,15.5,89.7,33.2,29.4,48.8
OTT,Ottawa Senators,2013,82,37,31,14,88,0.537,27,30,7,229,258,2.79,3.15,5,18.5,80.9,14.8,82.5,32.8,34.7,51.2
PHI,Philadelphia Flyers,2013,82,42,30,10,94,0.573,35,39,3,233,227,2.84,2.77,6,19.7,84.8,16.0,87.3,30.4,30.6,50.0
ARI,Phoenix Coyotes,2013,82,37,30,15,89,0.543,28,31,6,210,224,2.56,2.73,5,19.9,79.0,18.1,80.1,30.5,31.0,52.0
PIT,Pittsburgh Penguins,2013,82,51,24,7,109,0.665,40,44,7,242,204,2.95,2.49,6,23.4,85.0,21.2,86.6,29.9,28.8,51.0
SJS,San Jose Sharks,2013,82,51,22,9,111,0.677,37,41,10,239,193,2.91,2.35,6,17.2,84.9,15.1,88.6,34.8,27.8,52.8
STL,St. Louis Blues,2013,82,52,23,7,111,0.677,40,43,9,239,188,2.91,2.29,9,19.8,85.7,17.7,87.7,29.3,26.4,51.9
TBL,Tampa Bay Lightning,2013,82,46,27,9,101,0.616,32,38,8,232,209,2.83,2.55,7,18.5,80.7,15.6,84.4,29.8,29.2,49.2
TOR,Toronto Maple Leafs,2013,82,38,36,8,84,0.512,24,29,9,222,252,2.71,3.07,2,19.8,78.4,15.1,81.0,27.9,35.9,48.3
VAN,Vancouver Canucks,2013,82,36,35,11,83,0.506,25,31,5,191,216,2.33,2.63,7,15.2,83.2,13.6,85.4,30.8,28.4,51.4
WSH,Washington Capitals,2013,82,38,30,14,90,0.549,24,28,10,225,229,2.74,2.79,5,23.4,82.0,19.9,83.8,29.4,33.5,48.4
WPG,Winnipeg Jets,2013,82,37,35,10,84,0.512,24,29,8,219,231,2.67,2.82,3,15.4,83.2,13.1,84.9,30.7,30.1,46.9
ANA,Anaheim Ducks,2014,82,51,24,7,109,0.665,35,43,8,228,221,2.78,2.7,4,15.7,81.0,13.2,84.3,30.0,28.9,51.6
ARI,Arizona Coyotes,2014,82,24,50,8,56,0.341,14,19,5,165,267,2.01,3.26,1,20.0,76.7,17.0,78.1,29.2,33.2,51.8
BOS,Boston Bruins,2014,82,41,27,14,96,0.585,28,37,4,209,201,2.55,2.45,5,17.8,82.0,16.4,85.2,31.0,29.9,53.6
BUF,Buffalo Sabres,2014,82,23,51,8,54,0.329,14,15,8,153,269,1.87,3.28,1,13.4,75.1,9.8,77.8,24.2,35.6,44.9
CGY,Calgary Flames,2014,82,45,30,7,97,0.591,32,41,4,237,213,2.89,2.6,5,18.8,80.6,17.6,83.9,27.5,29.2,47.5
CAR,Carolina Hurricanes,2014,82,30,41,11,71,0.433,24,25,5,183,219,2.23,2.67,2,18.8,84.7,17.1,85.8,30.8,27.3,53.0
CHI,Chicago Blackhawks,2014,82,48,28,6,102,0.622,36,39,9,220,186,2.68,2.27,5,17.6,83.4,14.9,84.8,33.9,30.2,52.0
COL,Colorado Avalanche,2014,82,39,31,12,90,0.549,27,29,10,209,223,2.55,2.72,6,15.0,84.6,14.2,86.3,27.9,33.2,50.8
CBJ,Columbus Blue Jackets,2014,82,42,35,5,89,0.543,28,33,9,227,248,2.77,3.02,2,21.7,80.2,19.7,81.8,28.9,33.4,49.3
DAL,Dallas Stars,2014,82,41,31,10,92,0.561,33,37,4,257,257,3.13,3.13,6,19.0,80.7,16.6,84.3,31.2,29.9,51.8
DET,Detroit Red Wings,2014,82,43,25,14,100,0.61,32,39,4,231,211,2.82,2.57,6,23.8,80.9,21.1,81.9,29.6,28.3,51.5
EDM,Edmonton Oilers,2014,82,24,44,14,62,0.378,17,19,5,193,276,2.35,3.37,2,17.7,76.7,14.7,78.5,28.4,30.0,48.2
FLA,Florida Panthers,2014,82,38,29,15,91,0.555,29,30,8,198,213,2.41,2.6,4,16.3,80.0,13.8,80.4,30.7,29.6,48.6
LAK,Los Angeles Kings,2014,82,40,27,15,95,0.579,37,38,2,218,197,2.66,2.4,9,19.0,80.9,18.2,83.9,30.9,27.0,51.3
MIN,Minnesota Wild,2014,82,46,28,8,100,0.61,38,42,4,227,198,2.77,2.41,8,15.9,86.3,14.6,88.0,30.8,27.6,49.9
MTL,Montréal Canadiens,2014,82,50,22,10,110,0.671,37,43,7,214,184,2.61,2.24,9,16.5,83.7,14.8,86.4,28.5,30.1,52.1
NSH,Nashville Predators,2014,82,47,25,10,104,0.634,33,41,6,226,202,2.76,2.46,5,16.2,80.8,14.3,82.5,31.9,28.3,48.9
NJD,New Jersey Devils,2014,82,32,36,14,78,0.476,26,27,5,176,209,2.15,2.55,5,19.3,80.6,15.6,83.2,24.5,30.7,47.3
NYI,New York Islanders,2014,82,47,28,7,101,0.616,34,40,7,245,224,2.99,2.73,6,18.7,78.0,17.6,82.6,33.8,28.3,49.2
NYR,New York Rangers,2014,82,53,22,7,113,0.689,43,49,4,248,187,3.02,2.28,11,16.8,84.3,14.2,88.1,31.5,29.5,46.7
OTT,Ottawa Senators,2014,82,43,26,13,99,0.604,30,37,6,232,208,2.83,2.54,6,16.8,82.9,13.9,85.2,31.0,32.1,48.2
PHI,Philadelphia Flyers,2014,82,33,31,18,84,0.512,25,30,3,212,223,2.59,2.72,3,23.4,77.1,21.1,78.2,29.4,30.3,51.1
PIT,Pittsburgh Penguins,2014,82,43,27,12,98,0.598,33,39,4,217,204,2.65,2.49,10,19.3,84.8,15.0,87.0,31.6,29.3,49.1
SJS,San Jose Sharks,2014,82,40,33,9,89,0.543,34,36,4,224,226,2.73,2.76,8,21.7,78.5,19.7,80.3,31.6,29.7,51.9
STL,St. Louis Blues,2014,82,51,24,7,109,0.665,37,42,9,239,197,2.91,2.4,10,22.3,83.7,20.3,84.4,30.9,27.2,53.4
TBL,Tampa Bay Lightning,2014,82,50,24,8,108,0.659,43,47,3,259,206,3.16,2.51,5,18.8,83.7,16.7,86.4,29.6,27.9,49.7
TOR,Toronto Maple Leafs,2014,82,30,44,8,68,0.415,22,25,5,206,257,2.51,3.13,2,15.9,80.5,11.7,83.1,29.2,33.5,49.0
VAN,Vancouver Canucks,2014,82,48,29,5,101,0.616,36,42,6,236,220,2.88,2.68,9,19.3,85.7,18.5,88.0,29.9,29.8,46.7
WSH,Washington Capitals,2014,82,45,26,11,101,0.616,35,40,5,237,199,2.89,2.43,9,25.3,81.2,23.6,82.7,29.5,28.9,51.2
WPG,Winnipeg Jets,2014,82,43,26,13,99,0.604,32,36,7,223,204,2.72,2.49,7,17.8,81.8,16.0,85.1,29.7,28.7,48.9
ANA,Anaheim Ducks,2015,82,46,25,11,103,0.628,39,43,3,215,188,2.62,2.29,8,23.1,87.2,21.9,89.7,30.3,27.5,51.9
ARI,Arizona Coyotes,2015,82,35,39,8,78,0.476,29,34,1,208,244,2.54,2.98,5,17.7,77.3,13.0,78.6,27.6,31.0,54.7
BOS,Boston Bruins,2015,82,42,31,9,93,0.567,33,38,4,236,228,2.88,2.78,5,20.5,82.2,18.8,85.6,32.0,30.4,50.4
BUF,Buffalo Sabres,2015,82,35,36,11,81,0.494,29,33,2,199,215,2.43,2.62,2,18.9,82.6,16.5,85.3,29.5,30.6,49.4
CGY,Calgary Flames,2015,82,35,40,7,77,0.47,24,33,2,229,257,2.79,3.13,3,17.0,75.5,14.4,79.8,29.2,29.0,48.6
CAR,Carolina Hurricanes,2015,82,35,31,16,86,0.524,25,33,2,196,221,2.39,2.7,3,16.8,84.3,14.7,85.8,29.9,27.6,53.7
CHI,Chicago Blackhawks,2015,82,47,26,9,103,0.628,36,46,1,234,207,2.85,2.52,8,22.6,80.3,21.4,84.5,30.5,30.8,49.3
