team,season,name,gamesPlayed,points,pointsPercentage,leaguePointsPercentile,goalsFor,goalsAgainst,goalDifferential,xGoalsFor,xGoalsAgainst,xGoalDifferential,corsiPercentage,fenwickPercentage,shotsOnGoalFor,shotsForPerGame,shotsOnGoalAgainst,shotsAgainstPerGame,shotsDifferentialPerGame,finishing,goaltending
ANA,2023,Anaheim Ducks,82,59,0.36,0.02834008097165992,203,293,-90,219.06,281.69,-62.629999999999995,0.45,0.45,2194.0,26.75609756097561,2666.0,32.51219512195122,-5.756097560975611,0.09252506836827712,0.8900975243810952
ARI,2023,Arizona Coyotes,82,77,0.47,0.18218623481781376,254,274,-20,248.07,273.42,-25.350000000000023,0.48,0.47,2275.0,27.74390243902439,2600.0,31.70731707317073,-3.9634146341463428,0.11164835164835164,0.8946153846153846
BOS,2023,Boston Bruins,82,109,0.665,0.8805668016194332,263,221,42,255.98,253.27,2.7099999999999795,0.47,0.48,2399.0,29.25609756097561,2505.0,30.548780487804876,-1.292682926829265,0.10962901208837016,0.9117764471057884
BUF,2023,Buffalo Sabres,82,84,0.512,0.3147773279352227,244,243,1,249.63,268.49,-18.860000000000014,0.5,0.5,2535.0,30.914634146341463,2402.0,29.29268292682927,1.6219512195121943,0.09625246548323471,0.898834304746045
CGY,2023,Calgary Flames,82,81,0.494,0.2611336032388664,253,267,-14,251.34,256.23,-4.890000000000015,0.51,0.52,2573.0,31.378048780487806,2438.0,29.73170731707317,1.646341463414636,0.09832879906723668,0.8904840032813782
CAR,2023,Carolina Hurricanes,82,111,0.677,0.9190283400809717,277,211,66,285.86,220.48,65.38000000000002,0.59,0.58,2735.0,33.353658536585364,2101.0,25.621951219512194,7.73170731707317,0.10127970749542961,0.8995716325559258
CHI,2023,Chicago Blackhawks,82,52,0.317,0.010121457489878543,178,289,-111,206.24,274.4,-68.15999999999997,0.45,0.44,2153.0,26.25609756097561,2683.0,32.71951219512195,-6.463414634146339,0.08267533673943335,0.8922847558702944
COL,2023,Colorado Avalanche,82,107,0.652,0.8370445344129555,302,252,50,291.01,270.27,20.74000000000001,0.53,0.52,2707.0,33.01219512195122,2446.0,29.829268292682926,3.182926829268297,0.1115626154414481,0.8969746524938675
CBJ,2023,Columbus Blue Jackets,82,66,0.402,0.06072874493927125,234,298,-64,237.61,289.47,-51.860000000000014,0.48,0.47,2458.0,29.975609756097562,2822.0,34.41463414634146,-4.439024390243901,0.0951993490642799,0.8944011339475549
DAL,2023,Dallas Stars,82,113,0.689,0.9493927125506073,294,232,62,283.36,226.51,56.85000000000002,0.53,0.53,2588.0,31.5609756097561,2350.0,28.658536585365855,2.902439024390244,0.11360123647604328,0.9012765957446809
DET,2023,Detroit Red Wings,82,91,0.555,0.4352226720647773,275,273,2,242.89,272.6,-29.710000000000036,0.47,0.47,2375.0,28.963414634146343,2657.0,32.40243902439025,-3.4390243902439046,0.11578947368421053,0.8972525404591645
EDM,2023,Edmonton Oilers,82,104,0.634,0.7874493927125507,292,236,56,310.61,230.52,80.09,0.55,0.55,2768.0,33.75609756097561,2307.0,28.134146341463413,5.621951219512198,0.10549132947976879,0.8977026441265713
FLA,2023,Florida Panthers,82,110,0.671,0.9038461538461539,265,198,67,304.96,230.76,74.19999999999999,0.56,0.55,2766.0,33.73170731707317,2280.0,27.804878048780488,5.9268292682926855,0.09580621836587129,0.9131578947368421
LAK,2023,Los Angeles Kings,82,99,0.604,0.6609311740890689,254,210,44,267.84,234.97,32.869999999999976,0.53,0.53,2616.0,31.902439024390244,2297.0,28.01219512195122,3.8902439024390247,0.09709480122324159,0.9085764040052242
MIN,2023,Minnesota Wild,82,87,0.53,0.3633603238866397,248,260,-12,258.04,238.66,19.380000000000024,0.5,0.51,2472.0,30.146341463414632,2437.0,29.71951219512195,0.426829268292682,0.10032362459546926,0.8933114485022569
MTL,2023,Montréal Canadiens,82,76,0.463,0.1659919028340081,232,281,-49,229.11,280.77,-51.65999999999997,0.45,0.45,2269.0,27.670731707317074,2738.0,33.390243902439025,-5.7195121951219505,0.10224768620537682,0.8973703433162893
NSH,2023,Nashville Predators,82,99,0.604,0.6609311740890689,266,248,18,273.29,250.29,23.00000000000003,0.52,0.52,2642.0,32.21951219512195,2507.0,30.573170731707318,1.6463414634146325,0.10068130204390613,0.901076984443558
