team,season,name,gamesPlayed,points,pointsPercentage,leaguePointsPercentile,goalsFor,goalsAgainst,goalDifferential,xGoalsFor,xGoalsAgainst,xGoalDifferential,corsiPercentage,fenwickPercentage,shotsOnGoalFor,shotsForPerGame,shotsOnGoalAgainst,shotsAgainstPerGame,shotsDifferentialPerGame,finishing,goaltending
ANA,2010,Anaheim Ducks,82,99,0.604,0.6609311740890689,235,233,2,203.31,240.39,-37.079999999999984,0.45,0.46,2334.0,28.463414634146343,2649.0,32.30487804878049,-3.841463414634145,0.10068551842330763,0.9120422801057002
ATL,2010,Atlanta Thrashers,82,80,0.488,0.23279352226720648,218,262,-44,218.21,245.6,-27.389999999999986,0.49,0.5,2581.0,31.475609756097562,2638.0,32.170731707317074,-0.6951219512195124,0.08446338628438589,0.9006823351023503
BOS,2010,Boston Bruins,82,103,0.628,0.7672064777327935,244,189,55,226.06,232.15,-6.090000000000003,0.51,0.5,2696.0,32.8780487804878,2683.0,32.71951219512195,0.15853658536585158,0.09050445103857567,0.9295564666418189
BUF,2010,Buffalo Sabres,82,96,0.585,0.5738866396761133,240,228,12,229.41,228.85,0.5600000000000023,0.5,0.5,2690.0,32.80487804878049,2514.0,30.658536585365855,2.1463414634146325,0.08921933085501858,0.9093078758949881
CGY,2010,Calgary Flames,82,94,0.573,0.5222672064777328,241,230,11,223.23,198.47,24.75999999999999,0.52,0.52,2502.0,30.51219512195122,2338.0,28.51219512195122,2.0,0.09632294164668265,0.9016253207869974
CAR,2010,Carolina Hurricanes,82,91,0.555,0.4352226720647773,231,234,-3,239.25,248.81,-9.560000000000002,0.49,0.48,2517.0,30.695121951219512,2725.0,33.23170731707317,-2.536585365853661,0.09177592371871275,0.9141284403669725
CHI,2010,Chicago Blackhawks,82,97,0.591,0.597165991902834,252,220,32,225.23,213.95,11.280000000000001,0.52,0.53,2637.0,32.15853658536585,2354.0,28.70731707317073,3.45121951219512,0.09556313993174062,0.9065420560747663
COL,2010,Colorado Avalanche,82,68,0.415,0.07489878542510121,221,287,-66,219.65,242.96,-23.310000000000002,0.47,0.47,2394.0,29.195121951219512,2609.0,31.817073170731707,-2.6219512195121943,0.0923141186299081,0.8899961671138368
CBJ,2010,Columbus Blue Jackets,82,81,0.494,0.2611336032388664,210,250,-40,208.42,206.97,1.4499999999999886,0.51,0.51,2506.0,30.5609756097561,2447.0,29.841463414634145,0.7195121951219541,0.08379888268156424,0.8978340825500613
DAL,2010,Dallas Stars,82,95,0.579,0.5465587044534413,222,226,-4,207.09,222.6,-15.509999999999991,0.49,0.49,2269.0,27.670731707317074,2504.0,30.536585365853657,-2.865853658536583,0.09784045835169679,0.9097444089456869
DET,2010,Detroit Red Wings,82,104,0.634,0.7874493927125507,257,237,20,247.67,218.85,28.819999999999993,0.54,0.53,2757.0,33.6219512195122,2514.0,30.658536585365855,2.9634146341463428,0.09321726514327167,0.905727923627685
EDM,2010,Edmonton Oilers,82,62,0.378,0.0465587044534413,191,260,-69,204.51,254.89,-50.379999999999995,0.46,0.45,2189.0,26.695121951219512,2597.0,31.670731707317074,-4.975609756097562,0.08725445408862495,0.8998844820947247
FLA,2010,Florida Panthers,82,72,0.439,0.12044534412955465,191,222,-31,220.27,224.08,-3.8100000000000023,0.49,0.49,2493.0,30.402439024390244,2610.0,31.829268292682926,-1.426829268292682,0.07661452065784195,0.9149425287356322
LAK,2010,Los Angeles Kings,82,98,0.598,0.631578947368421,209,196,13,212.52,195.28,17.24000000000001,0.52,0.51,2363.0,28.817073170731707,2288.0,27.902439024390244,0.9146341463414629,0.08844688954718578,0.9143356643356644
MIN,2010,Minnesota Wild,82,86,0.524,0.34210526315789475,203,228,-25,196.64,235.99,-39.35000000000002,0.46,0.45,2148.0,26.195121951219512,2625.0,32.01219512195122,-5.81707317073171,0.09450651769087523,0.9131428571428571
MTL,2010,Montréal Canadiens,82,96,0.585,0.5738866396761133,213,206,7,224.34,229.46,-5.1200000000000045,0.51,0.51,2602.0,31.73170731707317,2538.0,30.951219512195124,0.7804878048780459,0.08186010760953114,0.9188337273443656
NSH,2010,Nashville Predators,82,99,0.604,0.6609311740890689,213,190,23,204.12,203.23,0.8900000000000148,0.49,0.48,2362.0,28.804878048780488,2510.0,30.609756097560975,-1.8048780487804876,0.09017781541066892,0.9243027888446215
NJD,2010,New Jersey Devils,82,81,0.494,0.2611336032388664,171,207,-36,184.3,182.94,1.3600000000000136,0.52,0.52,2344.0,28.585365853658537,2152.0,26.24390243902439,2.3414634146341484,0.07295221843003413,0.9038104089219331
NYI,2010,New York Islanders,82,73,0.445,0.12854251012145748,225,258,-33,230.93,257.92,-26.99000000000001,0.47,0.47,2409.0,29.378048780487806,2620.0,31.951219512195124,-2.573170731707318,0.09339975093399751,0.9015267175572519
NYR,2010,New York Rangers,82,93,0.567,0.49696356275303644,224,195,29,233.69,206.24,27.44999999999999,0.49,0.51,2453.0,29.914634146341463,2410.0,29.390243902439025,0.5243902439024382,0.09131675499388504,0.9190871369294605
OTT,2010,Ottawa Senators,82,74,0.451,0.14068825910931174,190,245,-55,204.12,237.18,-33.06,0.49,0.48,2381.0,29.036585365853657,2559.0,31.20731707317073,-2.170731707317074,0.07979840403191936,0.9042594763579523
PHI,2010,Philadelphia Flyers,82,106,0.646,0.8178137651821862,256,216,40,246.12,223.1,23.02000000000001,0.5,0.51,2605.0,31.76829268292683,2471.0,30.134146341463413,1.634146341463417,0.09827255278310941,0.9125859975718332
ARI,2010,Phoenix Coyotes,82,99,0.604,0.6609311740890689,226,220,6,216.64,234.78,-18.140000000000015,0.49,0.48,2486.0,30.317073170731707,2673.0,32.59756097560975,-2.280487804878046,0.09090909090909091,0.9176954732510288
PIT,2010,Pittsburgh Penguins,82,106,0.646,0.8178137651821862,228,196,32,222.08,202.79,19.29000000000002,0.53,0.52,2582.0,31.48780487804878,2352.0,28.682926829268293,2.8048780487804876,0.08830364058869093,0.9166666666666666
SJS,2010,San Jose Sharks,82,105,0.64,0.8036437246963563,243,208,35,258.69,199.77,58.91999999999999,0.54,0.55,2832.0,34.53658536585366,2369.0,28.890243902439025,5.646341463414636,0.0858050847457627,0.9121992401857324
STL,2010,St. Louis Blues,82,87,0.53,0.3633603238866397,236,228,8,218.3,209.62,8.680000000000007,0.52,0.52,2475.0,30.182926829268293,2275.0,27.74390243902439,2.4390243902439046,0.09535353535353536,0.8997802197802198
TBL,2010,Tampa Bay Lightning,82,103,0.628,0.7672064777327935,241,234,7,243.97,201.45,42.52000000000001,0.51,0.52,2606.0,31.78048780487805,2354.0,28.70731707317073,3.073170731707318,0.09247889485801995,0.9005947323704333
TOR,2010,Toronto Maple Leafs,82,85,0.518,0.3309716599190283,213,245,-32,219.93,240.28,-20.349999999999994,0.49,0.48,2360.0,28.78048780487805,2540.0,30.975609756097562,-2.1951219512195124,0.0902542372881356,0.9035433070866141
VAN,2010,Vancouver Canucks,82,117,0.713,0.97165991902834,258,180,78,242.41,218.63,23.78,0.53,0.52,2624.0,32.0,2470.0,30.121951219512194,1.8780487804878057,0.09832317073170732,0.9271255060728745
WSH,2010,Washington Capitals,82,107,0.652,0.8370445344129555,219,191,28,235.06,208.92,26.140000000000015,0.52,0.52,2566.0,31.29268292682927,2375.0,28.963414634146343,2.329268292682926,0.08534684333593141,0.919578947368421
ANA,2011,Anaheim Ducks,82,80,0.488,0.23279352226720648,201,224,-23,192.9,211.84,-18.939999999999998,0.49,0.49,2292.0,27.951219512195124,2367.0,28.865853658536587,-0.9146341463414629,0.08769633507853403,0.9053654414871145
BOS,2011,Boston Bruins,82,102,0.622,0.7408906882591093,260,199,61,224.98,198.45,26.53,0.53,0.53,2653.0,32.353658536585364,2441.0,29.76829268292683,2.5853658536585336,0.09800226159065209,0.9184760344121262
BUF,2011,Buffalo Sabres,82,89,0.543,0.4018218623481781,211,223,-12,199.14,224.89,-25.75,0.49,0.48,2397.0,29.23170731707317,2571.0,31.353658536585368,-2.121951219512198,0.08802670004171881,0.9132633216647219
CGY,2011,Calgary Flames,82,90,0.549,0.42105263157894735,199,217,-18,208.87,219.89,-11.019999999999982,0.47,0.46,2259.0,27.548780487804876,2529.0,30.841463414634145,-3.2926829268292686,0.0880920761398849,0.9141953341241598
CAR,2011,Carolina Hurricanes,82,82,0.5,0.2813765182186235,212,237,-25,235.36,251.5,-16.139999999999986,0.49,0.48,2498.0,30.463414634146343,2653.0,32.353658536585364,-1.8902439024390212,0.08486789431545236,0.9106671692423671
CHI,2011,Chicago Blackhawks,82,101,0.616,0.7196356275303644,241,231,10,224.23,203.65,20.579999999999984,0.53,0.52,2583.0,31.5,2343.0,28.573170731707318,2.926829268292682,0.09330236159504453,0.9014084507042254
COL,2011,Colorado Avalanche,82,88,0.537,0.38360323886639675,199,218,-19,216.47,214.55,1.9199999999999875,0.51,0.5,2584.0,31.51219512195122,2427.0,29.597560975609756,1.914634146341463,0.0770123839009288,0.9101771734651833
CBJ,2011,Columbus Blue Jackets,82,65,0.396,0.05668016194331984,198,257,-59,199.32,203.04,-3.719999999999999,0.5,0.5,2454.0,29.926829268292682,2537.0,30.9390243902439,-1.012195121951219,0.08068459657701711,0.8986992510839574
DAL,2011,Dallas Stars,82,89,0.543,0.4018218623481781,204,218,-14,187.73,208.2,-20.47,0.48,0.49,2315.0,28.23170731707317,2527.0,30.817073170731707,-2.585365853658537,0.08812095032397409,0.9137316976652157
DET,2011,Detroit Red Wings,82,102,0.622,0.7408906882591093,239,200,39,227.98,201.34,26.639999999999986,0.54,0.55,2638.0,32.170731707317074,2212.0,26.975609756097562,5.195121951219512,0.09059893858984079,0.9095840867992767
EDM,2011,Edmonton Oilers,82,74,0.451,0.14068825910931174,207,232,-25,201.51,245.65,-44.140000000000015,0.46,0.47,2186.0,26.658536585365855,2518.0,30.70731707317073,-4.048780487804876,0.09469350411710888,0.9078633836378078
FLA,2011,Florida Panthers,82,94,0.573,0.5222672064777328,197,216,-19,207.16,221.55,-14.390000000000015,0.5,0.5,2433.0,29.670731707317074,2505.0,30.548780487804876,-0.8780487804878021,0.08096999588984792,0.9137724550898203
LAK,2011,Los Angeles Kings,82,95,0.579,0.5465587044534413,188,170,18,225.0,202.95,22.05000000000001,0.54,0.53,2509.0,30.597560975609756,2248.0,27.414634146341463,3.1829268292682933,0.07493025109605421,0.9243772241992882
MIN,2011,Minnesota Wild,82,81,0.494,0.2611336032388664,166,217,-51,204.82,227.48,-22.659999999999997,0.45,0.45,2174.0,26.51219512195122,2571.0,31.353658536585368,-4.841463414634148,0.07635694572217111,0.9155970439517698
MTL,2011,Montréal Canadiens,82,78,0.476,0.19939271255060728,207,214,-7,203.32,218.86,-15.54000000000002,0.49,0.49,2340.0,28.536585365853657,2432.0,29.658536585365855,-1.121951219512198,0.08846153846153847,0.9120065789473684
NSH,2011,Nashville Predators,82,104,0.634,0.7874493927125507,232,205,27,196.04,205.45,-9.409999999999997,0.46,0.47,2261.0,27.573170731707318,2524.0,30.78048780487805,-3.2073170731707314,0.102609464838567,0.9187797147385103
NJD,2011,New Jersey Devils,82,102,0.622,0.7408906882591093,216,205,11,211.96,188.13,23.830000000000013,0.51,0.51,2253.0,27.475609756097562,2200.0,26.829268292682926,0.646341463414636,0.09587217043941411,0.9068181818181819
NYI,2011,New York Islanders,82,79,0.482,0.2165991902834008,196,251,-55,226.98,238.91,-11.930000000000007,0.48,0.49,2410.0,29.390243902439025,2469.0,30.109756097560975,-0.7195121951219505,0.08132780082987552,0.8983394086674767
NYR,2011,New York Rangers,82,109,0.665,0.8805668016194332,222,182,40,221.36,202.08,19.28,0.48,0.5,2339.0,28.524390243902438,2281.0,27.817073170731707,0.7073170731707314,0.09491235570756734,0.9202104340201666
OTT,2011,Ottawa Senators,82,92,0.561,0.4605263157894737,243,236,7,232.97,239.86,-6.890000000000015,0.52,0.5,2574.0,31.390243902439025,2627.0,32.03658536585366,-0.646341463414636,0.0944055944055944,0.9101636848115722
PHI,2011,Philadelphia Flyers,82,103,0.628,0.7672064777327935,260,225,35,269.18,225.16,44.02000000000001,0.52,0.52,2641.0,32.207317073170735,2329.0,28.402439024390244,3.804878048780491,0.09844755774327905,0.9033920137398025
ARI,2011,Phoenix Coyotes,82,97,0.591,0.597165991902834,210,194,16,210.54,225.74,-15.200000000000017,0.49,0.49,2429.0,29.621951219512194,2593.0,31.621951219512194,-2.0,0.08645533141210375,0.9251831854994215
PIT,2011,Pittsburgh Penguins,82,108,0.659,0.8582995951417004,273,218,55,261.54,209.22,52.32000000000002,0.55,0.55,2779.0,33.890243902439025,2247.0,27.402439024390244,6.487804878048781,0.0982367758186398,0.9029817534490432
SJS,2011,San Jose Sharks,82,96,0.585,0.5738866396761133,219,205,14,235.21,198.24,36.97,0.53,0.54,2773.0,33.81707317073171,2343.0,28.573170731707318,5.243902439024392,0.07897583844212044,0.9125053350405463
STL,2011,St. Louis Blues,82,109,0.665,0.8805668016194332,206,155,51,234.71,185.98,48.73000000000002,0.53,0.54,2512.0,30.634146341463413,2190.0,26.70731707317073,3.926829268292682,0.08200636942675159,0.9292237442922374
TBL,2011,Tampa Bay Lightning,82,84,0.512,0.3147773279352227,232,278,-46,210.56,243.02,-32.46000000000001,0.47,0.47,2227.0,27.158536585365855,2502.0,30.51219512195122,-3.353658536585364,0.10417602155365963,0.8888888888888888
TOR,2011,Toronto Maple Leafs,82,80,0.488,0.23279352226720648,227,259,-32,232.88,248.37,-15.490000000000009,0.49,0.48,2322.0,28.317073170731707,2528.0,30.829268292682926,-2.512195121951219,0.09776055124892334,0.8975474683544303
VAN,2011,Vancouver Canucks,82,111,0.677,0.9190283400809717,241,191,50,206.02,214.96,-8.939999999999998,0.53,0.52,2583.0,31.5,2526.0,30.804878048780488,0.6951219512195124,0.09330236159504453,0.9243863816310373
WSH,2011,Washington Capitals,82,92,0.561,0.4605263157894737,218,226,-8,191.91,209.93,-18.02000000000001,0.48,0.48,2296.0,28.0,2475.0,30.182926829268293,-2.1829268292682933,0.09494773519163763,0.9086868686868687
WPG,2011,Winnipeg Jets,82,84,0.512,0.3147773279352227,221,242,-21,226.78,238.54,-11.759999999999991,0.5,0.5,2471.0,30.134146341463413,2470.0,30.121951219512194,0.012195121951219079,0.08943747470659652,0.9020242914979757
ANA,2012,Anaheim Ducks,48,66,0.688,0.9402834008097166,134,115,19,120.74,117.34,3.3999999999999915,0.48,0.49,1347.0,28.0625,1340.0,27.916666666666668,0.14583333333333215,0.09948032665181886,0.914179104477612
BOS,2012,Boston Bruins,48,62,0.646,0.8178137651821862,127,106,21,139.98,126.66,13.319999999999993,0.53,0.53,1557.0,32.4375,1374.0,28.625,3.8125,0.08156711624919717,0.9228529839883551
BUF,2012,Buffalo Sabres,48,48,0.5,0.2813765182186235,118,139,-21,110.93,148.17,-37.23999999999998,0.45,0.45,1339.0,27.895833333333332,1606.0,33.458333333333336,-5.5625000000000036,0.08812546676624347,0.9134495641344956
CGY,2012,Calgary Flames,48,42,0.438,0.11437246963562753,128,157,-29,119.05,126.46,-7.409999999999997,0.48,0.48,1293.0,26.9375,1413.0,29.4375,-2.5,0.09899458623356536,0.8888888888888888
CAR,2012,Carolina Hurricanes,48,42,0.438,0.11437246963562753,127,159,-32,148.54,154.22,-5.680000000000007,0.51,0.5,1545.0,32.1875,1548.0,32.25,-0.0625,0.08220064724919093,0.8972868217054264
CHI,2012,Chicago Blackhawks,48,77,0.802,0.9979757085020243,149,97,52,123.02,110.09,12.929999999999993,0.53,0.54,1494.0,31.125,1258.0,26.208333333333332,4.916666666666668,0.0997322623828648,0.9228934817170111
COL,2012,Colorado Avalanche,48,39,0.406,0.06477732793522267,114,150,-36,115.47,137.54,-22.069999999999993,0.47,0.48,1415.0,29.479166666666668,1508.0,31.416666666666668,-1.9375,0.08056537102473499,0.9005305039787799
CBJ,2012,Columbus Blue Jackets,48,55,0.573,0.5222672064777328,115,115,0,102.39,110.16,-7.769999999999996,0.49,0.47,1283.0,26.729166666666668,1436.0,29.916666666666668,-3.1875,0.08963367108339829,0.91991643454039
DAL,2012,Dallas Stars,48,48,0.5,0.2813765182186235,128,141,-13,121.92,149.46,-27.540000000000006,0.48,0.46,1261.0,26.270833333333332,1489.0,31.020833333333332,-4.75,0.10150674068199841,0.9053055742108798
DET,2012,Detroit Red Wings,48,56,0.583,0.5587044534412956,122,110,12,124.3,113.7,10.599999999999994,0.54,0.54,1448.0,30.166666666666668,1322.0,27.541666666666668,2.625,0.08425414364640885,0.9167927382753404
EDM,2012,Edmonton Oilers,48,45,0.469,0.17611336032388664,123,131,-8,117.99,146.14,-28.14999999999999,0.44,0.45,1285.0,26.770833333333332,1573.0,32.770833333333336,-6.0000000000000036,0.09571984435797666,0.9167196439923713
FLA,2012,Florida Panthers,48,36,0.375,0.04251012145748988,109,170,-61,120.25,142.86,-22.610000000000014,0.49,0.48,1401.0,29.1875,1504.0,31.333333333333332,-2.145833333333332,0.07780157030692363,0.886968085106383
LAK,2012,Los Angeles Kings,48,59,0.615,0.7074898785425101,131,114,17,130.44,106.23,24.209999999999994,0.56,0.55,1431.0,29.8125,1198.0,24.958333333333332,4.854166666666668,0.09154437456324249,0.9048414023372288
MIN,2012,Minnesota Wild,48,55,0.573,0.5222672064777328,118,125,-7,132.95,106.39,26.559999999999988,0.51,0.51,1382.0,28.791666666666668,1299.0,27.0625,1.7291666666666679,0.085383502170767,0.9037721324095458
MTL,2012,Montréal Canadiens,48,63,0.656,0.8481781376518218,146,124,22,131.71,110.44,21.27000000000001,0.53,0.53,1468.0,30.583333333333332,1294.0,26.958333333333332,3.625,0.0994550408719346,0.9041731066460588
NSH,2012,Nashville Predators,48,41,0.427,0.09210526315789473,109,133,-24,107.79,113.26,-5.469999999999999,0.47,0.48,1244.0,25.916666666666668,1335.0,27.8125,-1.8958333333333321,0.08762057877813505,0.900374531835206
NJD,2012,New Jersey Devils,48,48,0.5,0.2813765182186235,110,122,-12,123.95,105.75,18.200000000000003,0.56,0.56,1363.0,28.395833333333332,1110.0,23.125,5.270833333333332,0.08070432868672046,0.8900900900900901
NYI,2012,New York Islanders,48,55,0.573,0.5222672064777328,135,136,-1,142.3,122.84,19.460000000000008,0.51,0.51,1485.0,30.9375,1352.0,28.166666666666668,2.770833333333332,0.09090909090909091,0.8994082840236687
NYR,2012,New York Rangers,48,56,0.583,0.5587044534412956,126,108,18,120.38,116.36,4.019999999999996,0.51,0.52,1483.0,30.895833333333332,1353.0,28.1875,2.708333333333332,0.08496291301416048,0.9201773835920177
OTT,2012,Ottawa Senators,48,56,0.583,0.5587044534412956,112,100,12,132.14,119.92,12.219999999999985,0.53,0.52,1591.0,33.145833333333336,1502.0,31.291666666666668,1.8541666666666679,0.07039597737272156,0.933422103861518
PHI,2012,Philadelphia Flyers,48,49,0.51,0.3026315789473684,132,139,-7,135.54,134.89,0.6500000000000057,0.49,0.49,1395.0,29.0625,1371.0,28.5625,0.5,0.09462365591397849,0.8986141502552881
ARI,2012,Phoenix Coyotes,48,51,0.531,0.3714574898785425,121,125,-4,124.71,134.76,-10.049999999999997,0.5,0.5,1483.0,30.895833333333332,1468.0,30.583333333333332,0.3125,0.0815913688469319,0.9148501362397821
PIT,2012,Pittsburgh Penguins,48,72,0.75,0.9919028340080972,162,119,43,135.31,123.77,11.540000000000006,0.5,0.5,1438.0,29.958333333333332,1403.0,29.229166666666668,0.7291666666666643,0.11265646731571627,0.9151817533856023
SJS,2012,San Jose Sharks,48,57,0.594,0.611336032388664,116,112,4,137.96,117.64,20.320000000000007,0.52,0.52,1526.0,31.791666666666668,1390.0,28.958333333333332,2.8333333333333357,0.07601572739187418,0.9194244604316547
STL,2012,St. Louis Blues,48,60,0.625,0.7540485829959515,124,114,10,109.7,102.23,7.469999999999999,0.52,0.53,1336.0,27.833333333333332,1161.0,24.1875,3.645833333333332,0.09281437125748503,0.9018087855297158
TBL,2012,Tampa Bay Lightning,48,40,0.417,0.08097165991902834,147,147,0,125.78,144.07,-18.289999999999992,0.47,0.47,1323.0,27.5625,1451.0,30.229166666666668,-2.666666666666668,0.1111111111111111,0.8986905582356995
TOR,2012,Toronto Maple Leafs,48,57,0.594,0.611336032388664,145,128,17,124.85,138.25,-13.400000000000006,0.45,0.45,1264.0,26.333333333333332,1549.0,32.270833333333336,-5.9375000000000036,0.11471518987341772,0.9173660426081343
VAN,2012,Vancouver Canucks,48,59,0.615,0.7074898785425101,122,115,7,119.11,116.13,2.980000000000004,0.52,0.51,1351.0,28.145833333333332,1389.0,28.9375,-0.7916666666666679,0.09030347890451518,0.9172066234701224
WSH,2012,Washington Capitals,48,57,0.594,0.611336032388664,146,130,16,132.7,134.23,-1.5300000000000011,0.48,0.48,1350.0,28.125,1551.0,32.3125,-4.1875,0.10814814814814815,0.9161831076724694
WPG,2012,Winnipeg Jets,48,51,0.531,0.3714574898785425,126,141,-15,121.85,123.77,-1.9200000000000017,0.5,0.5,1390.0,28.958333333333332,1424.0,29.666666666666668,-0.7083333333333357,0.09064748201438849,0.9009831460674157
ANA,2013,Anaheim Ducks,82,116,0.707,0.9655870445344129,263,203,60,229.6,213.33,16.269999999999982,0.5,0.51,2569.0,31.329268292682926,2354.0,28.70731707317073,2.6219512195121943,0.10237446477228494,0.9137638062871708
BOS,2013,Boston Bruins,82,117,0.713,0.97165991902834,258,171,87,237.78,193.13,44.650000000000006,0.53,0.53,2613.0,31.865853658536587,2385.0,29.085365853658537,2.7804878048780495,0.09873708381171067,0.9283018867924528
BUF,2013,Buffalo Sabres,82,52,0.317,0.010121457489878543,150,243,-93,180.54,248.53,-67.99000000000001,0.43,0.43,2157.0,26.304878048780488,2817.0,34.353658536585364,-8.048780487804876,0.06954102920723226,0.9137380191693291
CGY,2013,Calgary Flames,82,77,0.47,0.18218623481781376,202,238,-36,197.33,214.77,-17.439999999999998,0.47,0.48,2199.0,26.817073170731707,2347.0,28.621951219512194,-1.8048780487804876,0.09185993633469759,0.8985939497230507
CAR,2013,Carolina Hurricanes,82,83,0.506,0.29554655870445345,205,226,-21,225.88,232.78,-6.900000000000006,0.51,0.5,2561.0,31.23170731707317,2537.0,30.9390243902439,0.29268292682926855,0.08004685669660289,0.9109184075679937
CHI,2013,Chicago Blackhawks,82,107,0.652,0.8370445344129555,261,212,49,232.15,192.51,39.640000000000015,0.55,0.55,2717.0,33.13414634146341,2229.0,27.182926829268293,5.95121951219512,0.09606183290393816,0.9048900852400179
COL,2013,Colorado Avalanche,82,112,0.683,0.9311740890688259,245,216,29,219.94,242.32,-22.379999999999995,0.47,0.46,2421.0,29.524390243902438,2678.0,32.65853658536585,-3.1341463414634134,0.10119785212722016,0.9193427931292009
CBJ,2013,Columbus Blue Jackets,82,93,0.567,0.49696356275303644,226,214,12,195.97,194.96,1.009999999999991,0.5,0.5,2431.0,29.646341463414632,2524.0,30.78048780487805,-1.134146341463417,0.09296585767174002,0.9152139461172741
DAL,2013,Dallas Stars,82,91,0.555,0.4352226720647773,231,223,8,241.1,239.41,1.6899999999999977,0.51,0.51,2598.0,31.682926829268293,2492.0,30.390243902439025,1.2926829268292686,0.08891454965357967,0.9105136436597111
DET,2013,Detroit Red Wings,82,93,0.567,0.49696356275303644,217,221,-4,209.69,205.16,4.530000000000001,0.51,0.51,2456.0,29.951219512195124,2402.0,29.29268292682927,0.6585365853658551,0.08835504885993485,0.9079933388842631
EDM,2013,Edmonton Oilers,82,67,0.409,0.06781376518218624,199,267,-68,207.37,252.67,-45.29999999999998,0.45,0.44,2209.0,26.9390243902439,2696.0,32.8780487804878,-5.939024390243901,0.09008601177003168,0.9009643916913946
FLA,2013,Florida Panthers,82,66,0.402,0.06072874493927125,188,262,-74,206.0,228.61,-22.610000000000014,0.5,0.5,2451.0,29.890243902439025,2551.0,31.109756097560975,-1.2195121951219505,0.07670338637290902,0.8972951783614269
LAK,2013,Los Angeles Kings,82,100,0.61,0.6912955465587044,198,168,30,236.23,203.12,33.109999999999985,0.56,0.55,2595.0,31.646341463414632,2150.0,26.21951219512195,5.426829268292682,0.07630057803468208,0.9218604651162791
MIN,2013,Minnesota Wild,82,98,0.598,0.631578947368421,199,198,1,191.64,188.64,3.0,0.49,0.49,2181.0,26.597560975609756,2273.0,27.71951219512195,-1.1219512195121943,0.09124254928931683,0.9128904531456226
MTL,2013,Montréal Canadiens,82,100,0.61,0.6912955465587044,209,201,8,211.59,223.39,-11.799999999999983,0.47,0.48,2331.0,28.426829268292682,2542.0,31.0,-2.573170731707318,0.08966108966108965,0.9209284028324154
NSH,2013,Nashville Predators,82,88,0.537,0.38360323886639675,214,233,-19,203.4,194.7,8.700000000000017,0.48,0.49,2382.0,29.048780487804876,2370.0,28.902439024390244,0.1463414634146325,0.08984047019311503,0.9016877637130801
NJD,2013,New Jersey Devils,82,88,0.537,0.38360323886639675,197,195,2,202.33,177.21,25.120000000000005,0.53,0.52,2200.0,26.829268292682926,2089.0,25.475609756097562,1.353658536585364,0.08954545454545454,0.906653901388224
NYI,2013,New York Islanders,82,79,0.482,0.2165991902834008,216,261,-45,235.88,234.63,1.25,0.5,0.5,2537.0,30.9390243902439,2465.0,30.0609756097561,0.8780487804878021,0.08513992905005913,0.8941176470588236
NYR,2013,New York Rangers,82,96,0.585,0.5738866396761133,214,190,24,226.0,211.53,14.469999999999999,0.53,0.53,2719.0,33.15853658536585,2411.0,29.402439024390244,3.7560975609756078,0.07870540639941155,0.9211945250933222
OTT,2013,Ottawa Senators,82,88,0.537,0.38360323886639675,229,258,-29,226.48,238.74,-12.26000000000002,0.51,0.5,2692.0,32.829268292682926,2850.0,34.75609756097561,-1.9268292682926855,0.08506686478454681,0.9094736842105263
PHI,2013,Philadelphia Flyers,82,94,0.573,0.5222672064777328,233,227,6,237.18,219.35,17.830000000000013,0.51,0.51,2490.0,30.365853658536587,2508.0,30.585365853658537,-0.21951219512195053,0.09357429718875503,0.9094896331738437
ARI,2013,Phoenix Coyotes,82,89,0.543,0.4018218623481781,210,224,-14,207.57,235.16,-27.590000000000003,0.5,0.5,2499.0,30.475609756097562,2541.0,30.98780487804878,-0.5121951219512191,0.08403361344537816,0.9118457300275482
PIT,2013,Pittsburgh Penguins,82,109,0.665,0.8805668016194332,242,204,38,212.98,197.03,15.949999999999989,0.49,0.5,2454.0,29.926829268292682,2359.0,28.76829268292683,1.1585365853658516,0.09861450692746536,0.9135226791013141
SJS,2013,San Jose Sharks,82,111,0.677,0.9190283400809717,239,193,46,266.74,186.26,80.48000000000002,0.54,0.56,2851.0,34.76829268292683,2282.0,27.829268292682926,6.939024390243901,0.08383023500526131,0.9154250657318141
STL,2013,St. Louis Blues,82,111,0.677,0.9190283400809717,239,188,51,210.85,190.39,20.460000000000008,0.53,0.53,2403.0,29.304878048780488,2163.0,26.378048780487806,2.926829268292682,0.09945900957136912,0.9130836800739713
TBL,2013,Tampa Bay Lightning,82,101,0.616,0.7196356275303644,232,209,23,225.33,219.9,5.430000000000007,0.5,0.5,2447.0,29.841463414634145,2399.0,29.25609756097561,0.5853658536585336,0.09480997139354311,0.9128803668195081
TOR,2013,Toronto Maple Leafs,82,84,0.512,0.3147773279352227,222,252,-30,204.63,272.82,-68.19,0.44,0.43,2292.0,27.951219512195124,2945.0,35.91463414634146,-7.963414634146339,0.0968586387434555,0.9144312393887946
VAN,2013,Vancouver Canucks,82,83,0.506,0.29554655870445345,191,216,-25,205.72,207.88,-2.1599999999999966,0.52,0.52,2527.0,30.817073170731707,2328.0,28.390243902439025,2.426829268292682,0.07558369608231104,0.9072164948453608
WSH,2013,Washington Capitals,82,90,0.549,0.42105263157894735,225,229,-4,218.46,242.25,-23.789999999999992,0.48,0.47,2413.0,29.426829268292682,2751.0,33.548780487804876,-4.121951219512194,0.09324492333195193,0.9167575427117411
